alt,title,img_src,tweet_src
微笑む,微笑む,http://i.imgur.com/otyI674.png,pic.twitter.com/fbu5NAcO8L
笑顔,笑顔,http://i.imgur.com/0JKSkFa.png,pic.twitter.com/RtCF2zxmGH
ニッコリ,ニッコリ,http://i.imgur.com/1m54Fdg.png,pic.twitter.com/H17MiQbrZp
困る,困る,http://i.imgur.com/j9ZTnJC.png,pic.twitter.com/BxQAmpwAGV
話す,話す,http://i.imgur.com/IncbNlv.png,pic.twitter.com/VtqOGUE3So
驚く,驚く,http://i.imgur.com/SZ4YFPw.png,pic.twitter.com/qF9lgX1HIW
泣く,泣く,http://i.imgur.com/GslYA88.png,pic.twitter.com/gNbhgsS7E4
恐れる,恐れる,http://i.imgur.com/JDnBlfK.png,pic.twitter.com/0ajJlEWRIO
無表情,無表情,http://i.imgur.com/2dYHNxm.png,pic.twitter.com/u8SZo06A0t
呆れる,呆れる,http://i.imgur.com/RW5GfZu.png,pic.twitter.com/zzAPzPClKD
寝る,寝る,http://i.imgur.com/YX9zh0t.png,pic.twitter.com/5EG0dR0fbG
ジト目,ジト目,http://i.imgur.com/ZFZJxc5.png,pic.twitter.com/ozQu7U6lg6
怒る,怒る,http://i.imgur.com/ytQZf9E.png,pic.twitter.com/zojIYj8COD
焦る,焦る,http://i.imgur.com/SKYeTBx.png,pic.twitter.com/0apTP25hPB
考える,考える,http://i.imgur.com/ca1RFJs.png,pic.twitter.com/vVXbE4EBI6
放心,放心,http://i.imgur.com/j7cj5Px.png,pic.twitter.com/flQv0vVbka
目が死ぬ,目が死ぬ,http://i.imgur.com/qWGXRAX.png,pic.twitter.com/2Dz6wrrcPY
殺す,レッドストーンパウダーです,http://i.imgur.com/7dWJReE.png,pic.twitter.com/FlRCdXUKtO
